k,actual,ratio,rational,centsDiff,TenneyH,distTET
0,1.00000000,1/1,1.00000000,0.000,0.000,0.000
1,1.06649494,16/15,1.06666667,0.279,7.907,11.453
2,1.13741146,256/225,1.13777778,0.557,15.814,22.905
3,1.21304357,243/200,1.21500000,2.790,15.569,34.358
4,1.29370483,162/125,1.29600000,3.069,14.306,45.810
5,1.37972966,864/625,1.38240000,3.347,19.043,-42.737
6,1.47147471,375/256,1.46484375,-7.819,16.551,-31.285
7,1.56932033,25/16,1.56250000,-7.540,8.644,-19.832
8,1.67367220,5/3,1.66666667,-7.262,3.907,-8.380
9,1.78496293,16/9,1.77777778,-6.983,7.170,3.073
10,1.90365394,243/128,1.89843750,-4.750,14.925,14.525
11,2.03023730,81/40,2.02500000,-4.472,11.662,25.978
12,2.16523781,625/288,2.17013889,3.914,17.458,37.431
13,2.30921517,288/125,2.30400000,-3.914,15.136,48.883
14,2.46276630,200/81,2.46913580,4.472,13.984,-39.664
15,2.62652780,640/243,2.63374486,4.750,17.247,-28.212
16,2.80117862,45/16,2.81250000,6.983,9.492,-16.759
17,2.98744283,3/1,3.00000000,7.262,1.585,-5.307
18,3.18609267,16/5,3.20000000,7.540,6.322,6.146
19,3.39795172,256/75,3.41333333,7.819,14.229,17.598
20,3.62389832,729/200,3.64500000,10.052,17.154,29.051
21,3.86486923,625/162,3.85802469,-3.069,16.628,40.504
22,4.12186348,1000/243,4.11522634,-2.790,17.891,-48.044
23,4.39594656,40/9,4.44444444,18.995,8.492,-36.591
24,4.68825477,75/16,4.68750000,-0.279,10.229,-25.139
25,5.00000000,5/1,5.00000000,0.000,2.322,-13.686
